,close,tsv_so_k100,mav_short,mav_medium,ema_short,ema_med,ema_long,ema_switch
2021-10-20 18:16:18+02:00,3510.12,0,,,3510.1201171875,3510.1201171875,3510.1201171875,0
2021-10-20 18:16:19+02:00,3510.12,0,,,3510.1201171875,3510.1201171875,3510.1201171875,0
2021-10-20 18:16:20+02:00,3510.16,0,,,3510.1389674136512,3510.135471133735,3510.133651033873,0
2021-10-20 18:16:21+02:00,3509.36,0,,,3509.815440955529,3509.8947926240808,3509.9343658921066,-1
2021-10-20 18:16:22+02:00,3510.37,0,3510.02607421875,,3510.0283735374705,3510.0211633777926,3510.025072575943,1
2021-10-20 18:16:23+02:00,3509.63,0,3509.92802734375,,3509.882759633459,3509.9285309709235,3509.9558367655895,-1
2021-10-20 18:16:24+02:00,3509.52,0,3509.8080078125,,3509.7543295535615,3509.8401197430217,3509.889740993592,0
2021-10-20 18:16:25+02:00,3509.69,0,3509.714013671875,,3509.7319953936612,3509.809844904061,3509.86296484323,0
2021-10-20 18:16:26+02:00,3509.83,0,3509.8080078125,,3509.7655628027856,3509.8136974881268,3509.8590085995543,0
2021-10-20 18:16:27+02:00,3509.52,0,3509.63798828125,,3509.6822706319344,3509.7603169451777,3509.8219458684716,0
2021-10-20 18:16:28+02:00,3510.0,0,3509.71201171875,,3509.7894191676482,3509.802251467124,3509.8398166306006,0
2021-10-20 18:16:29+02:00,3510.0,0,3509.8080078125,,3509.8601579870337,3509.8357731182327,3509.8546978022528,1
2021-10-20 18:16:30+02:00,3509.01,0,3509.672021484375,,3509.57531164021,3509.6994274510935,3509.7815575499208,-1
2021-10-20 18:16:31+02:00,3507.78,0,3509.26201171875,,3508.9748272406932,3509.389406902885,3509.6190681826133,0
2021-10-20 18:16:32+02:00,3507.51,0,3508.860009765625,,3508.4854371492793,3509.091408703761,3509.4577208867636,0
2021-10-20 18:16:33+02:00,3507.79,0,3508.418017578125,,3508.253284348579,3508.8882530792525,3509.3369628808673,0
2021-10-20 18:16:34+02:00,3508.05,0,3508.02802734375,,3508.1854703466474,3508.759113135324,3509.2484172724926,0
2021-10-20 18:16:35+02:00,3508.87,0,3508.000048828125,,3508.4138404845176,3508.7760256467886,3509.2235996977925,0
2021-10-20 18:16:36+02:00,3509.86,0,3508.416064453125,,3508.8961470287377,3508.939640986183,3509.263535260368,0
2021-10-20 18:16:37+02:00,3509.29,0,3508.7720703125,3509.3240356445312,3509.0274838700775,3508.9921016524486,3509.265129991882,1
2021-10-20 18:16:38+02:00,3509.31,0,3509.07607421875,3509.2835327148437,3509.1216943324926,3509.03938097319,3509.267728942405,0
2021-10-20 18:16:39+02:00,3509.28,0,3509.3220703125,3509.2415283203127,3509.174479709098,3509.074956948312,3509.2684145249,0
2021-10-20 18:16:40+02:00,3509.22,0,3509.392041015625,3509.19453125,3509.189644725049,3509.0962887315154,3509.265807584633,0
2021-10-20 18:16:41+02:00,3509.42,0,3509.30400390625,3509.1975219726564,3509.2664083350364,3509.143694525919,3509.273829781569,0
2021-10-20 18:16:42+02:00,3509.5,0,3509.34599609375,3509.154016113281,3509.3442753070553,3509.195697762322,3509.2852371006866,0
2021-10-20 18:16:43+02:00,3509.98,0,3509.47998046875,3509.171520996094,3509.5561826222743,3509.309811736133,3509.3192427593544,0
2021-10-20 18:16:44+02:00,3509.73,0,3509.569970703125,3509.182019042969,3509.6141162574536,3509.3707855264356,3509.338781578797,0
2021-10-20 18:16:45+02:00,3509.61,0,3509.647998046875,3509.17802734375,3509.6127799632472,3509.405436974662,3509.3513422677206,0
2021-10-20 18:16:46+02:00,3509.61,0,3509.68603515625,3509.167028808594,3509.611889109154,3509.435014063097,3509.363014566898,0
2021-10-20 18:16:47+02:00,3509.14,0,3509.614013671875,3509.1480224609377,3509.4545561116374,3509.392436232349,3509.3531965562865,0
2021-10-20 18:16:48+02:00,3509.14,0,3509.44599609375,3509.105017089844,3509.349667902465,3509.356052685009,3509.344030576377,-1
2021-10-20 18:16:49+02:00,3509.32,0,3509.364013671875,3509.0710205078126,3509.3398013652327,3509.3508747541637,3509.3430240076527,0
2021-10-20 18:16:50+02:00,3508.25,0,3509.0919921875,3509.0330200195312,3508.976533682163,3509.192629499953,3509.298098553001,0
2021-10-20 18:16:51+02:00,3506.1,0,3508.389990234375,3508.9490234375,3508.017720685811,3508.748487813959,3509.169370784373,0
2021-10-20 18:16:52+02:00,3505.6,0,3507.68203125,3508.8535278320314,3507.21184578918,3508.2966674406243,3509.028550329399,0
2021-10-20 18:16:53+02:00,3504.32,0,3506.71806640625,3508.680029296875,3506.24791953792,3507.726363549268,3508.8463289059455,0
2021-10-20 18:16:54+02:00,3503.01,0,3505.4560546875,3508.42802734375,3505.168615951055,3507.050344860178,3508.624605795882,0
2021-10-20 18:16:55+02:00,3503.01,0,3504.408056640625,3508.1350219726564,3504.4490804094976,3506.4714999468633,3508.415075496311,0
2021-10-20 18:16:56+02:00,3503.01,0,3503.7900390625,3507.792517089844,3503.9693901298,3505.9757871072043,3508.216798557484,0
2021-10-20 18:16:57+02:00,3503.0,0,3503.27001953125,3507.4780151367186,3503.6462600573104,3505.5497802360746,3508.0285682721046,0
2021-10-20 18:16:58+02:00,3502.91,0,3502.98798828125,3507.1580078125,3503.4008107265336,3505.1719763132046,3507.8468022023503,0
2021-10-20 18:16:59+02:00,3502.49,0,3502.883984375,3506.818505859375,3503.0972038836107,3504.7882435238034,3507.6594844919223,0
2021-10-20 18:17:00+02:00,3502.31,0,3502.743994140625,3506.473010253906,3502.834822113293,3504.4337484016023,3507.4751836972673,0
2021-10-20 18:17:01+02:00,3501.54,0,3502.45,3506.0790161132813,3502.4032277553183,3504.0198923340004,3507.2736165979654,0
2021-10-20 18:17:02+02:00,3502.46,0,3502.3419921875,3505.727014160156,3502.422138816271,3503.7968283090618,3507.1123880863274,0
2021-10-20 18:17:03+02:00,3501.36,0,3502.03203125,3505.2960205078125,3502.068128348662,3503.448435245585,3506.9222865105185,0
2021-10-20 18:17:04+02:00,3501.36,0,3501.8060546875,3504.8775268554687,3501.8321213718177,3503.1498896346043,3506.740835004047,0
2021-10-20 18:17:05+02:00,3501.36,0,3501.616064453125,3504.4650268554688,3501.674783387948,3502.894049958599,3506.5674908919705,0
2021-10-20 18:17:06+02:00,3500.14,0,3501.33603515625,3503.9915161132812,3501.163153116804,3502.5003924965927,3506.362920050169,0
2021-10-20 18:17:07+02:00,3501.11,0,3501.066064453125,3503.5900268554688,3501.145471218467,3502.3016910409833,3506.1976931818117,0
2021-10-20 18:17:08+02:00,3501.11,0,3501.016064453125,3503.1885375976562,3501.133683286257,3502.1313992091223,3506.0394758820394,0
2021-10-20 18:17:09+02:00,3501.08,0,3500.96005859375,3502.7765380859373,3501.1158148991594,3501.9811608752784,3505.886938034132,0
2021-10-20 18:17:10+02:00,3500.08,0,3500.704052734375,3502.3680419921875,3500.7705693076123,3501.7095007394514,3505.710235360166,0
2021-10-20 18:17:11+02:00,3500.79,0,3500.83408203125,3502.1025390625,3500.77705922591,3501.5781171989483,3505.5620593229432,0
2021-10-20 18:17:12+02:00,3502.43,0,3501.098046875,3501.9440307617188,3501.3280166975956,3501.6998302846814,3505.4686771865086,0
2021-10-20 18:17:13+02:00,3502.0,0,3501.276025390625,3501.82802734375,3501.5520111317614,3501.742719316678,3505.3662661590674,0
2021-10-20 18:17:14+02:00,3504.0,0,3501.860009765625,3501.8775268554687,3502.368007421249,3502.0652372562126,3505.326308385723,1
2021-10-20 18:17:15+02:00,3504.33,0,3502.710009765625,3501.9435302734373,3503.022030989206,3502.388828324121,3505.2974395895044,0
2021-10-20 18:17:16+02:00,3504.33,0,3503.418017578125,3502.0095336914064,3503.458046701155,3502.6661808537033,3505.269656789274,0
2021-10-20 18:17:17+02:00,3504.66,0,3503.864013671875,3502.092529296875,3503.858668503906,3502.951027007821,3505.2522961968375,0
2021-10-20 18:17:18+02:00,3505.59,0,3504.58203125,3502.2265380859376,3504.435808299489,3503.3280667962445,3505.2618329750853,0
2021-10-20 18:17:19+02:00,3506.99,0,3505.180029296875,3502.4515380859375,3505.2872022777947,3503.851235693768,3505.310225155526,0
2021-10-20 18:17:20+02:00,3506.65,0,3505.643994140625,3502.6685302734377,3505.7414356331165,3504.251069438404,3505.347441234911,0
2021-10-20 18:17:21+02:00,3506.65,0,3506.107958984375,3502.9240234375,3506.0442578699963,3504.593777649764,3505.3833441353904,0
2021-10-20 18:17:22+02:00,3506.58,0,3506.4919921875,3503.130029296875,3506.2228646216645,3504.877547491139,3505.416084924224,0
2021-10-20 18:17:23+02:00,3504.77,0,3506.327978515625,3503.3005249023436,3505.7385829248587,3504.862185767939,3505.398538688617,0
2021-10-20 18:17:24+02:00,3504.77,0,3505.883984375,3503.4710205078127,3505.4157284603216,3504.8490187321186,3505.3815903110753,0
2021-10-20 18:17:25+02:00,3502.89,0,3505.131982421875,3503.547509765625,3504.5737831662555,3504.569135722228,3505.314865040183,0
2021-10-20 18:17:26+02:00,3504.37,0,3504.676025390625,3503.7590209960936,3504.5058945066703,3504.540703819892,3505.2897359516155,-1
2021-10-20 18:17:27+02:00,3505.5,0,3504.460009765625,3503.978515625,3504.837263004447,3504.6777489535393,3505.2952920441408,1
2021-10-20 18:17:28+02:00,3507.0,0,3504.906005859375,3504.2730102539062,3505.5581753362985,3505.0095049589754,3505.3400503145876,0
2021-10-20 18:17:29+02:00,3507.65,0,3505.481982421875,3504.6015014648438,3506.255417672116,3505.386710292386,3505.400320027374,0
2021-10-20 18:17:30+02:00,3507.65,0,3506.433984375,3504.9799926757814,3506.720245895994,3505.71002763547,3505.4586617111727,0
2021-10-20 18:17:31+02:00,3507.65,0,3507.08994140625,3505.3229858398436,3507.0301313785794,3505.9871556742733,3505.515155078239,0
2021-10-20 18:17:32+02:00,3507.65,0,3507.519921875,3505.583984375,3507.236721700303,3506.22469317597,3505.5698756001084,0
2021-10-20 18:17:33+02:00,3507.54,0,3507.6279296875,3505.860986328125,3507.337827487702,3506.4126012657684,3505.6200944079474,0
2021-10-20 18:17:34+02:00,3507.13,0,3507.52392578125,3506.01748046875,3507.268512595968,3506.515070775444,3505.658368298649,0
2021-10-20 18:17:35+02:00,3507.15,0,3507.42392578125,3506.1584716796874,3507.228975845229,3506.605761543631,3505.695978200441,0
2021-10-20 18:17:36+02:00,3507.15,0,3507.32392578125,3506.299462890625,3507.2026180114026,3506.683496343426,3505.732449527337,0
2021-10-20 18:17:37+02:00,3507.15,0,3507.22392578125,3506.423962402344,3507.185046122185,3506.7501260657577,3505.767826098933,0
2021-10-20 18:17:38+02:00,3507.15,0,3507.1458984375,3506.501953125,3507.1733315293736,3506.8072371784033,3505.802149576862,0
2021-10-20 18:17:39+02:00,3507.15,0,3507.14990234375,3506.5099487304688,3507.1655218008323,3506.8561895034204,3505.8354595961446,0
2021-10-20 18:17:40+02:00,3507.15,0,3507.14990234375,3506.534948730469,3507.160315315138,3506.898148597088,3505.8677938870364,0
2021-10-20 18:17:41+02:00,3507.83,0,3507.2859375,3506.593957519531,3507.3835695850917,3507.031281703568,3505.9158435933145,0
2021-10-20 18:17:42+02:00,3506.21,0,3507.09794921875,3506.5754516601564,3506.992366702561,3506.9139499262606,3505.923013364598,0
2021-10-20 18:17:43+02:00,3506.21,0,3506.9099609375,3506.6474487304686,3506.731564780874,3506.8133798949125,3505.9299778712234,-1
2021-10-20 18:17:44+02:00,3507.46,0,3506.97197265625,3506.781945800781,3506.9743634997494,3506.9057487536884,3505.9669541752705,1
2021-10-20 18:17:45+02:00,3508.01,0,3507.143994140625,3507.037951660156,3507.319578921708,3507.0635005294303,3506.0161253714773,0
2021-10-20 18:17:46+02:00,3508.5,0,3507.277978515625,3507.2444458007812,3507.713052614472,3507.268714965426,3506.075663799079,0
2021-10-20 18:17:47+02:00,3508.5,0,3507.735986328125,3507.3944458007813,3507.975368409648,3507.444612993486,3506.1335453032325,0
2021-10-20 18:17:48+02:00,3508.67,0,3508.227978515625,3507.4779418945313,3508.2068862314322,3507.6196572609924,3506.1938680308544,0
2021-10-20 18:17:49+02:00,3509.13,0,3508.561962890625,3507.5519409179688,3508.5145517584547,3507.835403917919,3506.2634322036374,0
2021-10-20 18:17:50+02:00,3508.63,0,3508.6859375,3507.600939941406,3508.5529954431368,3507.9489009703016,3506.3192951404453,0
2021-10-20 18:17:51+02:00,3508.63,0,3508.7119140625,3507.649938964844,3508.578624566258,3508.046184140165,3506.373643373578,0
2021-10-20 18:17:52+02:00,3508.63,0,3508.737890625,3507.698937988281,3508.595710648339,3508.1295697011883,3506.42652703675,0
2021-10-20 18:17:53+02:00,3508.76,0,3508.755908203125,3507.7599365234373,3508.650477020767,3508.219632601238,3506.4810337534404,0
2021-10-20 18:17:54+02:00,3508.76,0,3508.68193359375,3507.841442871094,3508.6869879357196,3508.296829363768,3506.534089085872,0
2021-10-20 18:17:55+02:00,3508.76,0,3508.707958984375,3507.9219482421877,3508.7113285456885,3508.3629980107967,3506.585739840273,0
2021-10-20 18:17:56+02:00,3508.71,0,3508.723974609375,3507.999951171875,3508.7108726762926,3508.412564154863,3506.634873300687,0
2021-10-20 18:17:57+02:00,3508.03,0,3508.60400390625,3508.0439575195314,3508.4839248831536,3508.3579163069694,3506.667042713905,0
2021-10-20 18:17:58+02:00,3509.03,0,3508.6580078125,3508.1379638671874,3508.6659596877275,3508.4539324650077,3506.721362194442,0
2021-10-20 18:17:59+02:00,3509.04,0,3508.714013671875,3508.232470703125,3508.7906528126514,3508.53766199136,3506.774504329814,0
2021-10-20 18:18:00+02:00,3509.07,0,3508.776025390625,3508.328479003906,3508.883791328226,3508.613720053608,3506.8269636010355,0
2021-10-20 18:18:01+02:00,3509.82,0,3508.998046875,3508.427978515625,3509.1958836719423,3508.78605554465,3506.895168837329,0
2021-10-20 18:18:02+02:00,3510.0,0,3509.392041015625,3508.61748046875,3509.4639224479615,3508.959476197335,3506.965723366408,0
2021-10-20 18:18:03+02:00,3510.0,0,3509.58603515625,3508.806982421875,3509.6426149653075,3509.1081224667655,3507.0344872859373,0
2021-10-20 18:18:04+02:00,3509.44,0,3509.666015625,3508.9059814453126,3509.575057112288,3509.1555251756604,3507.0888558433376,0
2021-10-20 18:18:05+02:00,3508.2,0,3509.4919921875,3508.915478515625,3509.1166884654835,3509.0190145956576,3507.1139038632455,0
2021-10-20 18:18:06+02:00,3509.76,0,3509.47998046875,3508.978479003906,3509.331128898864,3509.12487105385,3507.1734051088706,0
2021-10-20 18:18:07+02:00,3509.76,0,3509.431982421875,3509.0414794921876,3509.4740891877846,3509.215605159455,3507.231424133851,0
